name,source_id,ref_dmin_pc,our_dmin_pc,ref_lo_pc,ref_hi_pc,our_lo_pc,our_hi_pc,d_ratio,ref_tmin_kyr,our_tmin_kyr,mc_censored,grade,sys_dmin_pc,window_limited,catalog
HD 176693,2131593785132997632,7.0957,7.1102,6.9814,7.2042,7.08045,7.14131,1.002,1569.0,1579.5,0.0,A,0.00476,False,BJ2018
TYC 3550-1545-1,2132901791652476416,9.0715,8.8753,8.695,9.4604,8.77757,8.96199,0.978,3319.9,3296.1,0.0,A,0.06834,False,BJ2018
2MASS J19051722+5321102,2134603247238373632,8.7347,8.9721,7.7749,9.8477,8.83442,9.14696,1.027,3327.1,3512.3,0.0,A,0.24241,False,BJ2018
TYC 3569-1952-1,2137048084361939584,11.3582,10.6528,10.7578,11.9555,10.48858,10.787,0.938,4315.9,4287.3,0.0,A,0.43269,False,BJ2018
2MASS J18354868+5132204,2145104652732576640,2.6253,3.0592,2.3772,2.864,3.00872,3.11762,1.165,4476.4,4340.7,0.0,A,0.36739,False,BJ2018
2MASS J18233885+5501565,2149060042733822336,9.0087,9.1573,8.6806,9.372,8.98692,9.35929,1.016,2195.6,2188.1,0.0,A,0.10999,False,BJ2018
LSPM J1848+6135,2156787612316358144,9.8744,9.759,9.7366,10.0118,9.68245,9.81856,0.988,446.7,441.4,0.0,A,0.00052,False,BJ2018
TYC 4201-219-1,2159038656214469376,5.6772,5.7133,5.5356,5.8178,5.65836,5.77501,1.006,2103.8,2088.8,0.0,A,0.01379,False,BJ2018
2MASS J20570369+4539446,2163133615476116096,6.41,3.6316,6.1682,6.698,3.44593,3.83834,0.567,2151.7,2416.3,0.0,B,0.0035,False,BJ2018
TYC 3596-626-1,2165560138870569728,9.2827,9.3769,9.2058,9.3643,9.35674,9.39487,1.01,656.9,658.5,0.0,A,0.0006,False,BJ2018
2MASS J20482491+4516139,2166241595556885632,4.0979,4.1362,3.9263,4.2787,4.07799,4.19691,1.009,1649.6,1652.8,0.0,A,0.00077,False,BJ2018
HD 235453,2169310744818673280,5.7424,5.5068,5.5355,5.9559,5.48745,5.52865,0.959,1774.0,1765.3,0.0,A,0.01229,False,BJ2018
TYC 3600-295-1,2169506526605133824,9.8432,9.7334,9.6636,10.0236,9.68374,9.79262,0.989,1788.8,1783.4,0.0,A,0.01345,False,BJ2018
TYC 3601-1521-1,2175364518401105152,9.894,9.9513,9.6673,10.1414,9.89689,10.03956,1.006,2474.1,2467.3,0.0,A,0.0046,False,BJ2018
TYC 3585-2749-1,2180987592673770112,8.4145,8.355,8.0289,8.8357,8.25069,8.44632,0.993,896.7,890.8,0.0,A,0.0003,False,BJ2018
TYC 3585-1854-1,2181060023001589248,9.2583,9.3077,9.1418,9.3783,9.26037,9.35601,1.005,1337.8,1331.7,0.0,A,0.00419,False,BJ2018
2MASS J20215349+5427438,2185235448459177600,7.4007,7.3128,7.2914,7.508,7.27146,7.35904,0.988,566.6,562.6,0.0,A,0.00197,False,BJ2018
3 Cep,2195115561168483712,7.6275,7.7563,7.3805,7.8921,7.7303,7.78416,1.017,112.9,113.9,0.0,B,2e-05,False,BJ2018
GJ 809,2195886971653527168,5.8147,5.7952,5.7875,5.8415,5.78193,5.80937,0.997,124.2,124.7,0.0,A,1e-05,False,BJ2018
2MASS J21065377+6241442,2196158791543586816,9.2193,9.8287,8.6943,9.7745,9.5378,10.0691,1.066,3858.1,3993.3,0.0,A,0.18883,False,BJ2018
2MASS J20120519+5806137,2236080787437262720,4.5847,4.5606,4.3931,4.7807,4.51118,4.61482,0.995,3070.4,3036.5,0.0,A,0.05877,False,BJ2018
SAO 18429,2242463692950536832,4.8349,4.6506,4.6064,5.0675,4.5929,4.71028,0.962,3371.8,3366.6,0.0,A,0.32935,False,BJ2018
2MASS J20311812+6240483,2243413980238711296,8.409,7.8049,7.4835,9.6085,7.60042,8.0757,0.928,2768.1,2637.5,0.0,B,0.0092,False,BJ2018
2MASS J19492202+6530032,2247714685610373760,3.6742,3.4987,3.5069,3.8558,3.445,3.55435,0.952,2319.4,2319.8,0.0,B,0.13816,False,BJ2018
TYC 4242-1472-1,2248855772520651648,7.4277,7.3647,7.3312,7.5192,7.32587,7.4026,0.992,1596.9,1583.3,0.0,A,0.01735,False,BJ2018
2MASS J20071820+7142289,2251710791901569024,1.3441,1.5551,1.1916,1.4961,1.52066,1.59521,1.157,2721.7,2712.6,0.0,A,0.03327,False,BJ2018
2MASS J19052904+6223009,2252238523122400256,8.7306,8.7893,6.2669,13.7794,7.67058,10.39875,1.007,2190.7,2239.2,0.0,B,0.04684,False,BJ2018
TYC 4228-889-1,2255798806195501568,9.6178,9.952,9.3169,9.919,9.8548,10.06105,1.035,2829.1,2849.1,0.0,A,0.21281,False,BJ2018
HD 170592,2256811873018976640,9.2249,9.1223,9.1378,9.3086,9.08579,9.15403,0.989,1616.7,1609.3,0.0,A,0.02591,False,BJ2018
Alsafi,2261614264931057664,5.1035,5.0956,5.0861,5.1205,5.08931,5.10161,0.998,-46.3,-46.4,0.0,B,0.0,False,BJ2018
Gaia DR3 2265473928700390912,2265473928700390912,13.761,13.0596,12.958,14.6351,12.88414,13.26138,0.949,4924.7,4969.6,0.262,A,0.88777,False,BJ2018
GJ 4194,2272191085754928768,2.4406,2.4189,2.4286,2.4521,2.41422,2.42223,0.991,334.3,332.9,0.0,A,6e-05,False,BJ2018
TYC 4451-509-1,2274401001046023168,8.623,7.675,8.1584,9.126,7.56049,7.7861,0.89,4158.7,4123.8,0.0,A,0.61664,False,BJ2018
2MASS J20510167+7216071,2275101282577211904,8.5183,9.0314,8.1265,8.8958,8.89723,9.14358,1.06,3207.1,3206.6,0.0,A,0.2526,False,BJ2018
2MASS J21081346+7356212,2276816421933079168,4.54,4.4722,4.3523,4.7268,4.3451,4.62544,0.985,2746.0,2702.6,0.0,A,0.06451,False,BJ2018
SAO 9879,2297135018855651072,4.3622,4.3687,4.333,4.3904,4.35793,4.38085,1.001,708.6,704.9,0.0,A,0.00112,False,BJ2018
UCAC4 882-004334,2304806620720326272,7.9749,8.0048,7.7481,8.198,7.90971,8.09123,1.004,1305.0,1302.1,0.0,A,0.02305,False,BJ2018
GJ 1,2306965202564744064,4.2599,4.2615,4.2575,4.2625,4.26035,4.2628,1.0,-6.5,-6.5,0.0,B,0.0,False,BJ2018
HD 224143,2341662319204156928,3.3808,3.0835,3.2294,3.5511,2.96442,3.23875,0.912,-2182.8,-2201.6,0.0,B,0.01994,False,BJ2018
RGO 6407,2344290701750814464,8.5915,8.772,8.0532,9.1439,8.57838,8.93612,1.021,-3191.5,-3209.1,0.0,A,0.02665,False,BJ2018
Gaia DR2 2344819773001649024,2344819773001649024,6.5265,6.8637,6.3172,6.7515,6.71933,7.04992,1.052,-1802.6,-1868.3,0.0,B,0.00641,False,BJ2018
StKM 1-8,2364698805792480768,5.6182,5.5559,5.3605,5.9028,5.47059,5.62749,0.989,-2292.6,-2270.6,0.0,A,0.0074,False,BJ2018
GJ 4352,2395413147718069504,8.7786,8.7433,8.7058,8.8542,8.70101,8.7901,0.996,-352.6,-351.9,0.0,A,0.00102,False,BJ2018
GJ 884,2396530698208685312,7.4974,7.5081,7.4746,7.5185,7.49853,7.51907,1.001,-85.7,-85.4,0.0,A,5e-05,False,BJ2018
2MASS J22574079-1353535,2411055654832710016,9.5973,9.5213,9.476,9.7275,9.45924,9.58337,0.992,1223.9,1212.5,0.0,A,0.02254,False,BJ2018
SAO 147189,2417069815934357248,2.1741,2.3196,2.1038,2.246,2.29643,2.34559,1.067,2223.7,2324.2,0.0,A,0.03351,False,BJ2018
HD 361,2417456431710276096,7.4905,7.7203,7.2859,7.712,7.59992,7.83347,1.031,-2985.0,-3067.8,0.0,A,0.04448,False,BJ2018
2MASS J23440206-1227545,2432574269914995200,7.5723,7.7821,7.3711,7.7879,7.72156,7.83842,1.028,-915.8,-937.9,0.0,A,0.00218,False,BJ2018
2MASS J02121444-0556070,2488063082715769728,8.3878,8.6947,6.2051,12.534,8.24023,9.12918,1.037,2674.0,2893.9,0.0,A,0.17872,False,BJ2018
2MASS J01081336+0033496,2537833232461443712,5.0621,5.059,4.7692,5.3656,4.97977,5.1532,0.999,1274.1,1260.0,0.0,A,0.00409,False,BJ2018
2MASS J00244539+0027102,2543827112725877632,5.8029,5.1328,5.4549,6.142,5.02552,5.2108,0.885,2417.3,2421.0,0.0,A,0.19826,False,BJ2018
GJ 33,2552925644460225152,7.2665,7.2693,7.255,7.2776,7.26455,7.2734,1.0,31.0,31.0,0.0,A,1e-05,False,BJ2018
StKM 1-99,2553195883802687104,4.9722,5.0143,4.8407,5.1198,4.9524,5.06494,1.008,990.2,1003.6,0.0,A,0.00249,False,BJ2018
GJ 70,2560771312759450496,9.8417,9.8727,9.7982,9.8874,9.8592,9.88666,1.003,101.3,100.8,0.0,A,0.0001,False,BJ2018
2MASS J01172592+0315343,2562653436148026880,3.8184,3.4744,3.5321,4.1502,3.40074,3.55041,0.91,2054.5,2053.9,0.0,A,0.13092,False,BJ2018
GJ 74,2575383100738086656,9.4936,9.4471,9.3708,9.6228,9.38691,9.5023,0.995,-921.6,-918.5,0.0,A,0.0016,False,BJ2018
2MASS J01244040+1208018,2586616806743814912,9.1778,8.5138,8.679,9.726,8.38267,8.64022,0.928,-1342.7,-1259.0,0.0,B,0.01355,False,BJ2018
TYC 627-832-1,2588479894837159808,7.8494,7.4026,7.2048,8.5379,7.28691,7.50892,0.943,2809.2,2852.1,0.0,A,0.13835,False,BJ2018
RX J2237.9-1432A,2597671777686368128,5.0218,4.2824,4.1751,6.2412,3.90573,4.70601,0.853,-3846.0,-3591.2,0.0,A,0.19251,False,BJ2018
TYC 5802-244-1,2620268184745385728,3.7848,3.9838,3.6229,3.9543,3.96665,4.00068,1.053,1848.9,1890.6,0.0,A,0.07336,False,BJ2018
HR 8734,2648914040357320576,2.3578,2.3245,2.3173,2.3983,2.30332,2.34822,0.986,1466.8,1439.8,0.0,A,0.00638,False,BJ2018
2MASS J21221800+0312099,2692702984287116416,3.6646,4.1842,3.2592,4.1629,4.01658,4.37707,1.142,-3946.6,-4238.6,0.004,A,0.25892,False,BJ2018
2MASS J22214718+1257398,2733840455925562624,8.0669,8.2747,7.4854,8.7293,7.98042,8.52257,1.026,-3184.3,-3199.2,0.0,B,0.01534,False,BJ2018
TYC 1703-30-1,2738129616426300160,6.3325,6.7009,6.1184,6.5491,6.64124,6.75972,1.058,1913.5,1943.9,0.0,A,0.07255,False,BJ2018
GJ 9784,2738145555048846080,9.5513,9.5429,9.4967,9.6037,9.5129,9.57274,0.999,380.3,379.6,0.0,A,0.00153,False,BJ2018
BR Psc,2739689239311660672,2.8065,2.8259,2.798,2.8152,2.822,2.82962,1.007,62.2,62.4,0.0,A,1e-05,False,BJ2018
HD 223374,2742801956727994880,9.6994,9.8619,9.5847,9.811,9.80182,9.91813,1.017,1097.5,1103.4,0.0,B,0.01042,False,BJ2018
GJ 16,2752746111688997248,2.4933,2.5072,2.3777,2.6196,2.4807,2.53088,1.006,1037.2,1035.7,0.0,A,0.00716,False,BJ2018
UPM J2327+0845,2761165175302182656,8.684,9.1059,6.3849,12.8505,8.28186,10.11804,1.049,-2273.7,-2390.4,0.0,A,0.01196,False,BJ2018
HD 1407,2797517675415860864,9.3997,9.5334,9.2542,9.5384,9.50159,9.56837,1.014,-1422.5,-1435.1,0.0,A,0.00288,False,BJ2018
54 Psc,2802397960855105920,7.6606,7.6165,7.627,7.6961,7.59976,7.6332,0.994,173.9,174.0,0.0,A,0.00016,False,BJ2018
HIP 115860,2814457541828905728,8.8004,8.8079,8.7456,8.8524,8.78252,8.83505,1.001,518.9,518.3,0.0,A,0.00398,False,BJ2018
2MASS J23205082+1711574,2817994086619235072,4.5964,4.6376,4.5091,4.6827,4.58647,4.6925,1.009,653.9,655.2,0.0,A,0.00748,False,BJ2018
V580 Peg,2818377919256477568,2.9152,2.7939,1.9834,5.2165,2.30344,3.49498,0.958,-1307.0,-1246.8,0.004,B,0.02091,False,BJ2018
HD 223020,2820069517896275840,7.7868,8.1397,7.3444,8.2903,7.98178,8.3128,1.045,-2761.9,-2748.2,0.0,B,0.04805,False,BJ2018
StKM 1-2155,2820070445609210624,9.1256,8.9972,8.7472,9.5328,8.84429,9.15932,0.986,-3334.1,-3296.0,0.0,A,0.08016,False,BJ2018
EQ Peg A,2824770686019003904,6.2592,6.2398,6.2529,6.2648,6.22546,6.25183,0.997,0.4,-30.6,0.0,B,0.0,False,BJ2018
HD 219828,2824958015312906240,8.8069,8.224,8.5376,9.0867,8.1558,8.29384,0.934,2892.6,2883.8,0.0,A,0.15908,False,BJ2018
GJ 880,2828928008202069376,5.3611,5.3681,5.3408,5.3803,5.35782,5.377,1.001,93.7,93.7,0.0,A,1e-05,False,BJ2018
GJ 4306,2830099469122381056,4.5534,4.6048,4.4937,4.6155,4.5821,4.63099,1.011,473.3,479.0,0.0,A,0.00163,False,BJ2018
Helvetios,2835207319109249920,6.6475,6.687,6.5292,6.7678,6.66488,6.71075,1.006,370.5,371.0,0.0,A,0.00041,False,BJ2018
SAO 73914,2855386174976559488,8.3391,8.3633,7.9464,8.7515,8.31363,8.41408,1.003,1129.2,1127.9,0.0,A,0.00213,False,BJ2018
2MASS J00302870+2815394,2857835612005601152,9.7376,9.8811,9.5343,9.9318,9.79567,9.96653,1.015,998.6,997.3,0.0,A,0.0061,False,BJ2018
2MASS J23363968+2515149,2864373514303832064,9.2458,9.083,8.5598,10.0394,8.89159,9.28918,0.982,1341.8,1324.4,0.0,A,0.01711,False,BJ2018
2MASS J00102883+3500273,2876056718701791360,5.7289,5.827,5.6158,5.8465,5.76838,5.90558,1.017,1603.2,1600.1,0.0,A,0.0819,False,BJ2018
TYC 7083-491-1,2883422621974755584,3.1961,3.148,3.0971,3.2932,3.12859,3.16941,0.985,-2143.0,-2142.7,0.0,A,0.01224,False,BJ2018
Gaia DR2 2884020756300548096,2884020756300548096,7.943,8.4431,7.2905,8.7025,8.25731,8.60816,1.063,-2111.2,-2170.6,0.0,B,0.10164,False,BJ2018
PM J06093-3549,2885863400349980288,4.4565,4.1919,4.0093,4.9742,4.10212,4.27187,0.941,-714.5,-675.0,0.0,A,0.00065,False,BJ2018
2MASS J06033353-3516041,2886084092949006208,7.4767,7.515,7.2534,7.717,7.41275,7.62385,1.005,-2708.3,-2711.4,0.0,A,0.18357,False,BJ2018
2MASS J06004985-3323470,2889541782140976768,8.3926,8.2803,8.1852,8.5936,8.1903,8.37446,0.987,-2459.5,-2452.3,0.0,A,0.05493,False,BJ2018
2MASS J06281558-3141096,2892428240682954496,2.4504,2.3864,2.3544,2.5511,2.35434,2.42348,0.974,2448.2,2410.4,0.0,A,0.09846,False,BJ2018
TYC 7087-953-1,2894448455860985088,2.6897,2.9983,2.6067,2.7792,2.94428,3.04767,1.115,-480.6,-498.6,0.0,B,0.00164,False,BJ2018
2MASS J06041961-3019094,2897069588500381568,6.3442,5.698,6.1516,6.5287,5.62651,5.76998,0.898,-2289.7,-2247.5,0.0,B,0.15995,False,BJ2018
2MASS J06090001-2823587,2897900372614905984,7.7465,7.5897,7.5388,7.9733,7.5098,7.66976,0.98,-768.2,-758.5,0.0,B,0.00106,False,BJ2018
TYC 6514-1723-1,2899039432302133632,3.2743,3.2239,3.1146,3.4501,3.18362,3.27009,0.985,-1997.8,-1946.6,0.0,A,0.01354,False,BJ2018
2MASS J05271123-3112175,2905064992242441088,6.3377,4.3337,5.7527,6.9441,4.2338,4.42201,0.684,-4368.9,-4308.3,0.0,A,1.10155,False,BJ2018
Gaia DR3 2907455059940536064,2907455059940536064,9.8081,10.1014,8.4351,11.7917,9.69365,10.40358,1.03,-2482.0,-2500.9,0.0,A,0.03781,False,BJ2018
2MASS J06050973-2703479,2910316951269216256,6.1713,6.1968,6.0384,6.3087,6.1195,6.26941,1.004,-923.2,-935.7,0.0,A,0.01747,False,BJ2018
TYC 6500-1647-1,2911175257533670272,6.4282,6.4588,6.3616,6.4986,6.43334,6.48606,1.005,-1128.4,-1125.6,0.0,A,0.01993,False,BJ2018
V352 CMa,2913411183149615744,6.7352,6.7355,6.6792,6.7978,6.70479,6.76916,1.0,-629.5,-630.2,0.0,A,0.00031,False,BJ2018
HD 39323,2914093223954419072,9.9397,9.9535,9.8651,10.0203,9.93514,9.97601,1.001,-664.6,-665.8,0.0,A,0.008,False,BJ2018
Gaia DR3 2915071376986487552,2915071376986487552,9.6958,12.2057,9.1266,10.3411,11.69767,12.71558,1.259,-1419.0,-1436.6,0.0,B,0.02578,False,BJ2018
2MASS J06455837-2943313,2918342149203525632,2.1245,2.4582,1.9454,2.3198,2.38902,2.52579,1.157,-3571.9,-3370.6,0.0,A,0.17944,False,BJ2018
TYC 6533-614-1,2918776799893970816,4.8373,5.4855,4.6902,4.9924,5.42871,5.55039,1.134,-2448.2,-2467.5,0.0,A,0.08582,False,BJ2018
HD 49792,2918972135006872960,7.3592,7.806,7.1285,7.5983,7.754,7.85261,1.061,-3029.3,-2966.6,0.0,A,0.23031,False,BJ2018
TYC 6530-23-1,2919165202376591360,4.899,5.9162,4.6231,5.2156,5.79215,6.0598,1.208,-3407.0,-3648.6,0.0,B,0.18283,False,BJ2018
PM J06522-2623,2919383519853573504,9.8776,10.096,9.7111,10.0518,10.00961,10.1749,1.022,-939.3,-948.7,0.0,A,0.00155,False,BJ2018
TYC 6526-284-1,2921779325631149312,8.2285,8.2439,7.7693,8.7507,8.05683,8.47356,1.002,-2888.0,-2900.1,0.0,A,0.01441,False,BJ2018
2MASS J06574973-2410196,2922311695416355200,8.2878,8.3484,7.287,9.3366,8.05755,8.67785,1.007,-4281.6,-4417.3,0.0,B,0.19943,False,BJ2018
2MASS J06594343-2254212,2922536167594428160,8.9466,9.1504,8.214,9.7159,9.00309,9.36641,1.023,-2899.5,-2851.6,0.0,B,0.08487,False,BJ2018
2MASS J06362219-2624091,2922983119064439168,7.5735,7.5315,7.5044,7.6434,7.50641,7.5606,0.994,-559.0,-558.4,0.0,A,0.00261,False,BJ2018
TYC 6510-105-1,2924249653380114304,6.671,6.4797,6.3598,6.961,6.4283,6.53479,0.971,-2886.7,-2909.9,0.0,A,0.14664,False,BJ2018
HD 44821,2924339469735490560,1.7393,1.7323,1.7057,1.7726,1.71734,1.74852,0.996,-1947.7,-1954.9,0.0,A,0.00405,False,BJ2018
2MASS J06254274-2408350,2924378502398307840,0.88,0.9172,0.8028,0.957,0.90283,0.93103,1.042,-1841.3,-1874.2,0.0,A,0.08962,False,BJ2018
ATO J098.9684-23.6270,2924689939068674944,7.9698,8.2769,6.7316,9.6726,7.21427,14.64537,1.039,-4672.6,-4977.9,0.488,A,0.29348,False,BJ2018
TYC 6507-1775-1,2924895856979532160,12.8211,11.8992,11.9344,13.7917,11.6353,12.23811,0.928,-4550.6,-4595.6,0.0,B,0.69768,False,BJ2018
2MASS J06481416-2334315,2925245467319467008,7.1603,7.1277,7.0445,7.2834,7.08246,7.17608,0.995,-1466.5,-1462.5,0.0,A,0.01403,False,BJ2018
2MASS J06425522-2218083,2926370198994626560,6.1044,6.0608,5.8752,6.3386,5.90859,6.194,0.993,-3706.8,-3767.5,0.0,B,0.07298,False,BJ2018
TYC 5960-1542-1,2926618619904861184,5.0085,3.4948,3.5669,8.6566,3.34223,3.63496,0.698,-3699.9,-3862.9,0.0,B,0.26459,False,BJ2018
SAO 172059,2926732831673735168,0.9165,0.8223,0.8198,1.0139,0.81414,0.83095,0.897,-1680.2,-1661.8,0.0,A,0.02777,False,BJ2018
TYC 6524-2492-1,2927911542505230848,7.8801,7.2363,7.4267,8.3213,7.11551,7.35888,0.918,-4967.7,-4925.8,0.184,A,0.12976,False,BJ2018
WDS J07030-2241AB,2928521084265214720,5.8165,9.7793,5.3935,6.3229,7.98228,11.98082,1.681,-2164.0,-3568.7,0.066,B,0.03486,False,BJ2018
HD 52613,2928798848387843456,8.6806,8.6595,8.6215,8.7397,8.63918,8.68091,0.998,-694.9,-693.1,0.0,A,0.00091,False,BJ2018
2MASS J06593659-2148100,2928862620064679296,2.4588,1.9855,2.2208,2.707,1.92873,2.06745,0.808,-4662.2,-4757.9,0.0,A,0.4873,False,BJ2018
2MASS J07063575-1941319,2929582147342817408,5.7038,5.2825,5.3132,6.1255,5.16106,5.43507,0.926,-2964.4,-2841.3,0.0,A,0.05351,False,BJ2018
HD 49995,2933503521200215424,1.0621,0.9807,0.7508,1.3957,0.90833,1.04596,0.923,-4245.0,-4031.3,0.0,A,0.08472,False,BJ2018
HR 2705,2934241052985789568,5.2435,5.0276,5.136,5.3662,4.97045,5.071,0.959,-1279.5,-1288.2,0.0,B,0.00646,False,BJ2018
2MASS J07141931-1641348,2934903817980369408,5.8535,5.8268,5.4769,6.287,5.72058,5.97998,0.995,-2306.0,-2293.8,0.0,A,0.00243,False,BJ2018
TYC 5964-3044-1,2935478518964837248,7.3575,6.9898,7.1602,7.5514,6.94968,7.03152,0.95,-1223.9,-1193.6,0.0,B,0.00716,False,BJ2018
2MASS J06210028-2355593,2936443993245681024,6.7801,6.6878,6.4781,7.0757,6.56636,6.80213,0.986,4419.6,4367.8,0.0,A,0.07448,False,BJ2018
TYC 6506-2262-1,2936454026290685056,6.2407,6.2308,6.1831,6.2947,6.21328,6.25075,0.998,-900.9,-899.6,0.0,A,0.00607,False,BJ2018
2MASS J06301548-2101390,2938904524172464896,7.2077,7.1872,7.0768,7.3458,7.15493,7.2267,0.997,-971.1,-977.0,0.0,A,0.00579,False,BJ2018
TYC 5956-2289-1,2939572791024031488,5.3871,5.5201,5.039,5.768,5.4458,5.59836,1.025,-3698.0,-3743.4,0.0,B,0.22816,False,BJ2018
GJ 229,2940856402123426176,5.6422,5.6354,5.6266,5.6562,5.6302,5.64203,0.999,-54.8,-57.3,0.0,A,0.0,False,BJ2018
2MASS J06073175-1849303,2942448082647042176,3.9931,4.1265,3.8609,4.14,4.09117,4.16259,1.033,-1942.0,-1943.9,0.0,A,0.08395,False,BJ2018
2MASS J06165019-1708395,2944362160592260736,7.177,6.8975,6.8152,7.5793,6.75005,7.09172,0.961,-3843.2,-3896.8,0.0,A,0.30014,False,BJ2018
TYC 5957-2545-1,2945427930964098304,5.6522,5.712,5.5613,5.7471,5.68966,5.73817,1.011,-1030.2,-1033.1,0.0,A,0.00647,False,BJ2018
GJ 2051,2945575123779578624,5.5549,5.581,5.5186,5.5906,5.57278,5.58952,1.005,-294.1,-294.4,0.0,A,9e-05,False,BJ2018
Gaia DR2 2946250223920764288,2946250223920764288,9.2538,9.1731,9.0714,9.4537,9.06272,9.27307,0.991,-600.9,-597.5,0.0,A,0.00081,False,BJ2018
HD 52242,2948264327364009728,5.0869,5.5748,4.8724,5.3084,5.52406,5.62448,1.096,-2344.4,-2518.5,0.0,A,0.02299,False,BJ2018
2MASS J06394066-1449318,2950539766674532224,2.2783,1.6986,2.1089,2.4571,1.64173,1.74727,0.746,-2910.9,-2917.1,0.0,B,0.06848,False,BJ2018
TYC 5377-2651-1,2950723007159996160,8.8003,8.8458,8.5901,9.0207,8.78754,8.89561,1.005,-2878.8,-2858.2,0.0,A,0.09229,False,BJ2018
TYC 5376-837-1,2951898969206442496,6.0746,6.2049,5.8863,6.2855,6.13514,6.28078,1.021,-2701.5,-2719.8,0.0,A,0.08116,False,BJ2018
TYC 5383-675-1,2954061532478049664,5.0572,5.2407,4.2387,6.2047,5.10738,5.35586,1.036,1801.2,1870.4,0.0,A,0.00253,False,BJ2018
HR 1785,2955204960150116352,8.1454,7.9523,6.7277,10.4449,7.07332,9.17547,0.976,-991.4,-982.8,0.0,A,0.01656,False,BJ2018
2MASS J05123883-2718192,2955685790328048384,8.525,6.8433,7.6427,9.5704,6.65757,7.0436,0.803,-1534.0,-1354.2,0.0,B,0.05208,False,BJ2018
TYC 6473-109-1,2961023919281120384,4.6403,4.3169,4.4237,4.8734,4.24066,4.43085,0.93,-4881.7,-4863.8,0.074,B,0.32517,False,BJ2018
GJ 199 A,2962193318618221056,9.3287,9.2925,9.1974,9.4682,9.25381,9.33195,0.996,-591.2,-588.5,0.0,A,0.00095,False,BJ2018
GJ 3331,2962658549474035584,4.3684,5.3775,4.1762,4.5796,4.83696,6.02088,1.231,-892.6,-1088.4,0.0,A,0.00782,False,BJ2018
γ Lep B,2964001014514075520,7.9741,7.9557,7.9377,8.0099,7.93617,7.9735,0.998,175.7,176.8,0.0,A,0.0001,False,BJ2018
2MASS J05490160-2017549,2966071536646382592,5.701,4.1709,5.1735,6.2658,4.07855,4.26442,0.732,-3844.0,-3700.2,0.0,A,0.82494,False,BJ2018
HD 39855,2966316109264052096,5.6176,5.6279,5.5817,5.6576,5.61095,5.64472,1.002,-502.9,-504.7,0.0,A,0.00145,False,BJ2018
HD 39855B,2966316109264051072,5.496,5.4878,5.3073,5.6934,5.46811,5.51056,0.999,-488.0,-487.8,0.0,A,0.00149,False,BJ2018
HR 1980,2966790170574625408,3.5025,3.485,3.4761,3.5288,3.47518,3.49663,0.995,-665.4,-663.8,0.0,A,0.00044,False,BJ2018
Gaia DR3 2968528945134793984,2968528945134793984,10.0372,10.543,9.6719,10.431,10.36905,10.70517,1.05,-1644.8,-1661.2,0.0,B,0.04457,False,BJ2018
58 Eri,2980492387558410112,6.9594,6.9829,6.9014,7.0171,6.95541,7.00644,1.003,-431.4,-432.9,0.0,A,0.00119,False,BJ2018
59 Eri,2980728988716627584,9.4206,9.3906,9.313,9.5228,9.34652,9.42856,0.997,-1138.7,-1137.3,0.0,A,0.01306,False,BJ2018
PM J05331-1406,2984656203733095936,8.5986,8.6115,8.4853,8.7052,8.572,8.64131,1.002,-665.2,-664.3,0.0,B,0.00125,False,BJ2018
StKM 2-411,2984821370995103360,9.9349,9.9414,9.7979,10.0678,9.90312,9.99028,1.001,-695.1,-697.9,0.0,A,0.00074,False,BJ2018
HD 34796,2984889746874340864,9.0186,8.8758,8.9369,9.0978,8.85071,8.9078,0.984,-970.1,-962.4,0.0,A,0.0098,False,BJ2018
2MASS J05181413-1415439,2985151980397167872,6.5118,6.8582,6.2329,6.8306,6.75982,6.96112,1.053,-2315.1,-2356.5,0.0,A,0.07821,False,BJ2018
TYC 5901-738-1,2986344877497587328,7.2375,7.2691,7.0918,7.3784,7.22025,7.32441,1.004,-1657.9,-1671.0,0.0,A,0.03862,False,BJ2018
HD 32623,2987696078505244416,8.5958,8.3809,8.0117,9.247,8.33446,8.43406,0.975,-2971.7,-2846.1,0.0,A,0.14754,False,BJ2018
HR 1737,2988305826422644224,7.392,7.4846,7.2552,7.5438,7.42773,7.5418,1.013,-627.3,-631.5,0.0,A,0.00227,False,BJ2018
HD 33870,2988480545692036224,7.4599,7.8858,7.1511,7.7815,7.82888,7.95329,1.057,-3242.2,-3252.9,0.0,A,0.19916,False,BJ2018
PM J06027-1758,2990644380279100288,9.2152,9.108,9.1314,9.3054,9.07889,9.14259,0.988,-470.1,-466.0,0.0,A,0.00037,False,BJ2018
2MASS J06155529-1449428,2993332587429403264,7.6837,7.6952,7.567,7.8012,7.65952,7.7346,1.002,-830.2,-833.3,0.0,A,0.00135,False,BJ2018
HD 42606,2994437527894182272,7.4232,7.9547,7.3113,7.5393,7.87774,8.02835,1.072,-567.1,-590.8,0.0,B,0.00116,False,BJ2018
TYC 5370-80-1,2994592421595363328,9.7766,11.7858,9.6334,9.9347,11.73792,11.84408,1.206,-1094.9,-1316.0,0.0,B,0.00981,False,BJ2018
TYC 5360-386-1,2996772439616644352,5.0685,5.0823,4.9221,5.2212,5.04657,5.12521,1.003,-1659.4,-1648.9,0.0,A,0.08511,False,BJ2018
