name,source_id,ref_dmin_pc,our_dmin_pc,ref_lo_pc,ref_hi_pc,our_lo_pc,our_hi_pc,d_ratio,ref_tmin_kyr,our_tmin_kyr,mc_censored,grade,sys_dmin_pc,window_limited,catalog
ι Per,436648129327098496,8.2383,8.3391,8.1778,8.3018,8.3255,8.35807,1.012,-79.3,-79.0,0.0,B,0.0,False,BJ2018
TYC 3301-2418-1,437675210620383360,8.0992,8.8897,7.1638,9.2721,7.37146,11.7911,1.098,1015.5,1094.5,0.004,A,0.01175,False,BJ2018
13 Per,438829629114680704,6.5578,6.6678,6.3637,6.7589,6.63842,6.69504,1.017,-283.9,-285.4,0.0,B,4e-05,False,BJ2018
TYC 3322-300-1,440052423484915712,7.819,8.1039,7.5339,8.1062,8.02766,8.1865,1.036,-995.0,-1016.4,0.0,B,0.00184,False,BJ2018
2MASS J03091830+5417560,447201924824978176,7.6419,7.8197,6.4141,9.3575,7.07923,8.57754,1.023,-2257.7,-2291.5,0.0,A,0.01221,False,BJ2018
2MASS J02420997+5213417,452898430151491840,3.6114,3.919,3.3293,3.949,3.82119,4.02071,1.085,1156.3,1277.8,0.0,A,0.0099,False,BJ2018
2MASS J04143463+5928377,470339330267531520,8.0074,7.3098,7.5676,8.4915,7.14996,7.46609,0.913,4057.4,3698.4,0.0,A,0.10887,False,BJ2018
2MASS J04274299+5833258,470789889516124160,7.9158,8.3923,5.4539,14.7463,7.3714,9.63176,1.06,-3578.7,-3518.1,0.016,A,0.07321,False,BJ2018
HD 23983,473334915336067968,2.9492,3.3504,2.6531,3.2694,3.28268,3.42227,1.136,-4528.2,-4775.5,0.0,A,0.1323,False,BJ2018
TYC 4068-404-1,476470928654231680,3.8596,1.6096,3.5776,4.1817,1.50009,1.69699,0.417,-3832.9,-3868.4,0.0,B,0.22436,False,BJ2018
2MASS J05414645+6724452,481423094667311616,7.3567,6.9077,6.6713,8.1578,6.68689,7.15115,0.939,4596.3,4706.1,0.004,A,0.62397,False,BJ2018
2MASS J03514175+6323136,487182680172457984,2.3941,4.4639,1.7894,2.9814,4.26213,4.71179,1.865,3374.7,3487.4,0.0,B,0.14207,False,BJ2018
HD 26734,490797290285913984,6.8696,7.7599,6.3756,7.4199,7.62755,7.90047,1.13,2844.8,2542.3,0.0,B,0.15977,False,BJ2018
2MASS J05021451+7142330,499056306236909696,7.9258,7.9503,7.7471,8.106,7.87196,8.01403,1.003,1493.5,1487.0,0.0,A,0.03067,False,BJ2018
TYC 4354-440-1,500944167702333312,4.8629,4.6303,4.7263,5.0036,4.57975,4.68136,0.952,2697.9,2660.3,0.0,A,0.08815,False,BJ2018
2MASS J04124669+7200195,501151631802617728,6.0198,6.1152,5.763,6.2935,5.99384,6.25187,1.016,2658.1,2632.0,0.0,A,0.09,False,BJ2018
2MASS J02035875+5821177,505452852570429696,8.0065,7.9001,7.8341,8.1781,7.85258,7.9418,0.987,1076.3,1067.5,0.0,B,0.00636,False,BJ2018
TYC 4036-703-1,508869791120043776,6.5918,6.5696,6.5311,6.6471,6.55182,6.58864,0.997,641.0,642.7,0.0,A,0.00082,False,BJ2018
HD 7977,510911618569239040,0.4287,0.0377,0.3685,0.4943,0.01931,0.06335,0.088,-2788.4,-2764.7,0.0,B,0.02064,False,BJ2018
GJ 69,512129087182637696,8.9473,8.9379,8.9202,8.972,8.9262,8.94946,0.999,145.3,145.3,0.0,A,3e-05,False,BJ2018
2MASS J02084431+6332267,514869138877621376,6.1836,5.5705,5.4416,7.053,5.33836,5.82797,0.901,4453.2,4616.9,0.0,B,0.12786,False,BJ2018
GJ 49,522863309964987520,9.6781,9.6989,9.6582,9.6986,9.69278,9.70559,1.002,51.5,49.5,0.0,A,0.0,False,BJ2018
2MASS J01065566+6611548,525222930637242624,6.3168,6.1794,5.9977,6.6404,6.07645,6.27662,0.978,4359.9,4231.0,0.0,A,0.13649,False,BJ2018
TYC 4029-161-1,526053646029398528,8.6041,8.367,8.1566,9.0852,8.14908,8.58055,0.972,2325.6,2268.9,0.0,B,0.0291,False,BJ2018
Gaia DR3 530706366918780544,530706366918780544,8.059,10.1654,7.2424,9.1475,9.65124,12.76227,1.261,-4070.8,-4917.1,0.383,A,0.35966,False,BJ2018
2MASS J01015927+7052186,533476998783925248,7.0294,6.8972,6.7356,7.3511,6.7806,7.0128,0.981,1725.7,1709.0,0.0,A,0.01445,False,BJ2018
2MASS J02364579+7155040,545798229160475392,4.8394,4.603,4.6041,5.0709,4.54846,4.65287,0.951,2588.4,2595.8,0.0,A,0.06795,False,BJ2018
TYC 4511-1265-1,551806991486755072,6.7402,7.104,6.4607,7.028,7.0323,7.18165,1.054,-2767.0,-2756.7,0.0,A,0.15657,False,BJ2018
HD 30841,552966735735931648,3.8409,3.7558,3.7998,3.8857,3.74111,3.77013,0.978,1159.9,1147.6,0.0,A,0.00999,False,BJ2018
2MASS J05005698+7747003,552966735735929472,3.955,3.9707,3.8629,4.046,3.92504,4.0122,1.004,1148.5,1150.5,0.0,A,0.00874,False,BJ2018
TYC 4515-615-1,553219967007245312,1.8994,1.9485,1.86,1.9386,1.93479,1.96089,1.026,1666.4,1664.5,0.0,A,0.01734,False,BJ2018
GJ 56.5,560130775546153344,2.8391,2.8297,2.8082,2.8711,2.81643,2.84465,0.997,711.7,708.9,0.0,A,0.00067,False,BJ2018
TYC 4502-974-1,565449456886187136,8.7335,8.4278,8.1417,9.4064,8.1079,8.80666,0.965,2199.8,2160.2,0.0,B,0.04044,False,BJ2018
TYC 4506-1400-1,572047591805923200,10.9682,10.2569,10.3653,11.6571,10.13002,10.39359,0.935,3891.9,3901.1,0.0,A,0.36299,False,BJ2018
Gaia DR3 572239216066501376,572239216066501376,10.7772,10.789,10.3949,11.1514,10.70775,10.88479,1.001,3077.6,3106.6,0.0,A,0.15864,False,BJ2018
HD 7585,575472948481456256,3.3384,3.3876,3.3062,3.3712,3.37588,3.40196,1.015,1043.8,1041.1,0.0,A,0.00619,False,BJ2018
2MASS J08571134+0852255,585325118125769472,8.3993,8.006,7.8996,8.9464,7.7888,8.25802,0.953,-3700.2,-3799.5,0.0,A,0.37024,False,BJ2018
