name,simbad_id,source_id,hip,sp_type,system,dist_now_pc,ra,dec,parallax,parallax_error,parallax_catalog,parallax_source,pmra,pmdec,pmra_error,pmdec_error,rv,rv_error,rv_source,rv_component,system_parent,x,y,z,vx,vy,vz,gal_dmin_pc,gal_tmin_myr,lin_dmin_pc,lin_tmin_myr,mc_dmin_med,mc_dmin_lo,mc_dmin_hi,mc_tmin_med,mc_tmin_lo,mc_tmin_hi,mc_censored,mc_model,sys_dmin_pc,sys_dominant,zp_dmin_pc,grade,rv_reliability,astrom_flag,is_wd,featured
Gaia DR3 929788371508812288,,929788371508812288,,,-1,73.00479704565446,121.3709965904039,46.41437668268302,13.69773001868134,0.058558907,,,-2.042764880298999,3.2324141403546154,0.053222116,0.042243313,195.67918,6.6081905,gaia,,,-61.68311852903038,7.43803463770408,38.33495690540295,-165.4795910733381,21.163444607619745,102.2775939797832,0.490383,-0.364769,0.4937010061089518,-0.3647820792560928,0.49214,0.47529,0.50903,-0.36477,-0.37799,-0.35496,0.000,integrated,0.00105,disc scale height 0.20 kpc,0.00355,C,low_snr,,0,
Gaia DR2 3118526069444386944,,3118526069444386944,,,-1,131.48471342319695,95.39502790758254,-1.0319468383869306,7.6054468535927695,0.054553162,,,0.25234131250199227,0.04477622786313275,0.04928591,0.04901606,40.07159,0.5474423,gaia,,,-112.49231876738949,-66.09603978112118,-16.27948425376864,-34.27584950094866,-20.193779206419897,-4.809913170389623,0.517170,-3.213187,0.5241456484260846,-3.208325075760486,0.51852,0.39989,0.63529,-3.21530,-3.26597,-3.16231,0.000,integrated,0.04039,halo scale radius -20%,0.00810,B,good,"high_ruwe,non_single",0,
Gaia DR3 4116451378388951424,,4116451378388951424,,,-1,84.27826228787045,265.06002802648516,-23.63146114026462,11.865455846541849,0.3312669,,,-2.1017805301331114,3.6547664278379473,0.2262361,0.1835773,-264.40646,5.5068464,gaia,,,83.89869034615388,5.697505864860782,5.601221240332147,-263.36801197254,-17.086601086435255,-16.091971581396344,0.535519,0.311663,0.536876091445199,0.31165382730358543,0.53750,0.51894,0.56056,0.31322,0.30195,0.32421,0.000,integrated,0.00037,disc scale height 0.20 kpc,0.00448,C,low_snr,high_ruwe,0,
LAMOST J045521.42+114441.2,,3295253979286613376,,,-1,107.15687245429149,73.83928730955472,11.744788255484785,9.332112603664845,0.021374073,,,0.2606898671051353,-0.6215152643352853,0.02617019,0.019970087,-61.63266,1.8852242,gaia,,,-100.17015056149718,-14.10285085110913,-35.350330246599576,57.68360414666031,7.782681173605899,20.26656547554497,0.563997,1.700296,0.5952327026526274,1.6999740628921216,0.56111,0.53618,0.58815,1.69207,1.64741,1.73817,0.000,integrated,0.01357,disc scale height 0.20 kpc,0.00603,A,good,,0,
LSPM J2146+3813,LSPM J2146+3813,1952802469918554368,,M5V,-1,7.047484256325446,326.5928819418585,38.21751708114409,141.89460573855888,0.021211391,,,161.4536764489594,-119.73940230903497,0.017373964,0.019083459,-82.91139,0.17733116,gaia,,,0.2996154485111376,6.8967290840705635,-1.418588336024128,-5.0232889713750835,-82.39414485522845,10.264828186543523,0.568928,0.082571,0.5689474554644249,0.08257084905549389,0.56901,0.56776,0.57018,0.08258,0.08240,0.08274,0.000,integrated,0.00001,disc scale height 0.20 kpc,0.00040,A,good,,0,LSPM J2146+3813
2MASS J22415098-2759470,,6608946489396474752,,,-1,126.03143061701722,340.46248378068725,-27.996400193200564,7.934528673555949,0.014614584,,,-0.6504235910447358,-0.31396487077539437,0.012830454,0.012483712,43.82,0.51411736,gaia,,,55.37468891933655,24.1822510982995,-110.60191708228896,19.639255176239722,8.328824254281663,-38.279353883399104,0.579941,-2.781588,1.240980216845041,-2.8119718047397435,0.58171,0.55614,0.60313,-2.77908,-2.81972,-2.74564,0.000,integrated,0.09145,disc scale height 0.40 kpc,0.00511,A,good,,0,
Gaia DR3 3054509410098672000,Gaia DR3 3054509410098672000,3054509410098672000,,,-1,40.05966164183183,113.66290300929151,-6.620059321421864,24.962767008390347,0.023380093,,,0.6304401445354922,5.492874445131541,0.023150086,0.019766627,70.35056,0.35094133,gaia,,,-28.72318498424104,-27.55382527596764,4.532311538339943,-50.9889616412505,-47.72016688409011,8.556585694757528,0.596175,-0.556662,0.5978077972129845,-0.5566594299356205,0.59624,0.59278,0.60017,-0.55650,-0.55964,-0.55396,0.000,integrated,0.00044,disc scale height 0.20 kpc,0.00238,B,good,high_ruwe,0,
Gaia DR3 3600338081985998080,Gaia DR3 3600338081985998080,3600338081985998080,,,-1,38.59649334534262,177.90598283154307,-3.2292374465821974,25.90908948780624,0.08469997,,,-3.1746534801944044,-0.31677894347757574,0.111489065,0.054416116,-37.172897,1.9466585,gaia,,,1.935328163278354,-21.278310544179,32.14307551935533,-2.344185548277206,20.204197924297382,-31.120093192217404,0.619773,1.013532,0.6060171578183835,1.0149880705149694,0.61502,0.57696,0.65725,1.00745,0.95761,1.06024,0.000,integrated,0.00593,disc scale height 0.20 kpc,0.00241,B,good,high_ruwe,0,
Gaia DR3 3207963476278403200,,3207963476278403200,,,-1,275.08503346620444,78.0314428156244,-6.7707157086516885,3.635239574467271,0.04781181,,,-0.30141009067117397,-0.752341906256607,0.051101334,0.041844968,515.4554,5.8116126,gaia,,,-220.82421402243372,-115.10662306373766,-116.87132867106376,-413.1596577270098,-216.1502469493636,-219.71243560966343,0.618506,-0.521797,0.5640295801064559,-0.5218198804986068,0.61711,0.58084,0.65365,-0.52085,-0.52963,-0.51227,0.000,integrated,0.01341,disc scale height 0.20 kpc,0.01734,C,extreme,,0,
Gaia DR3 4553985194389991808,,4553985194389991808,,,-1,394.87202995169014,262.23555275692325,18.93291677655005,2.5324660248089566,0.018251225,,,-0.4518407008237826,0.48885794492656565,0.017206037,0.018974124,-87.20149,2.3875709,gaia,,,264.0256161130611,235.39497368657283,175.5095451460822,-59.03781502592001,-51.912788581185815,-37.752501593829095,0.573247,4.398117,5.6420568280547565,4.426804797021213,0.61805,0.43409,0.79800,4.40927,4.30477,4.53108,0.000,integrated,0.91440,disc scale height 0.20 kpc,0.04185,B,good,high_ruwe,0,
2MASS J06342938-7449471,,5261593808165974784,,,-1,65.12382286429008,98.62243647893642,-74.82975450765295,15.355363920878466,0.011096202,,,-0.09125864488183044,-2.2117348833032997,0.011974329,0.014559525,71.07719,0.5836005,gaia,,,15.83439158822979,-55.70874634323977,-29.781200921967514,17.926818822652365,-60.5843599007233,-32.56683055014114,0.623325,-0.895388,0.6261138860651242,-0.8958103371315127,0.62361,0.61771,0.62963,-0.89626,-0.90262,-0.88916,0.000,integrated,0.00225,disc scale height 0.20 kpc,0.00403,A,good,,0,
2MASS J14594591+8347085,,1722612190157591680,,,-1,169.56421800146825,224.94163437665512,83.7857162519552,5.897470656169577,0.0104364315,,,-0.08377727236032198,-0.5643314218680763,0.013730435,0.0132856015,-36.414585,1.5062027,gaia,,,-69.52144113813937,125.26519042025325,90.70515595876215,15.210484862938543,-26.99859938679854,-19.129795761699306,0.648060,4.499690,2.135246143191896,4.552359511096251,0.64123,0.53225,0.81583,4.49186,4.33793,4.70370,0.008,integrated,0.70991,disc scale height 0.20 kpc,0.02819,A,good,,0,
Gaia DR3 398496965625177216,,398496965625177216,,,-1,72.83722248297744,20.01900262146951,47.662932194043655,13.72924400341744,0.038118787,,,-2.8174090607918645,-3.042727145758387,0.046195935,0.03379512,-151.35966,7.9162097,gaia,,,-43.247184696386356,55.52225973476955,-18.76754296161827,90.72013945401038,-115.09336543879019,37.88364174954005,0.680170,0.470473,0.6889887275360005,0.47049059823012407,0.67786,0.64304,0.71445,0.46944,0.44588,0.49420,0.000,integrated,0.00221,disc scale height 0.20 kpc,0.00489,C,low_snr,,0,
